id,roleta,contagens,estrategia,criadoem,hora,data
63,Football Roulette,6,Ausencia Coluna 3,1672167307652,18:55:07,2022-12-27
64,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672167315757,18:55:15,2022-12-27
65,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672167315764,18:55:15,2022-12-27
66,Quantum Roulette Live,6,Ausencia Coluna 3,1672167315775,18:55:15,2022-12-27
67,bet365 Roulette,6,Ausencia Coluna 3,1672167321796,18:55:21,2022-12-27
68,Hindi Roulette,6,Ausencia Coluna 3,1672167325827,18:55:25,2022-12-27
69,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672167331887,18:55:31,2022-12-27
70,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672167331891,18:55:31,2022-12-27
71,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672167346020,18:55:46,2022-12-27
72,Roulette,6,Ausencia Coluna 3,1672167346025,18:55:46,2022-12-27
73,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672167346030,18:55:46,2022-12-27
74,bet365 Roulette,6,Ausencia Coluna 3,1672167352079,18:55:52,2022-12-27
75,Super Spin Roulette,6,Ausencia Coluna 3,1672167352084,18:55:52,2022-12-27
76,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672167352092,18:55:52,2022-12-27
77,Football Roulette,6,Ausencia Coluna 3,1672167352098,18:55:52,2022-12-27
78,Super Spin Roulette,6,Ausencia Coluna 3,1672168953993,19:22:33,2022-12-27
79,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672168954019,19:22:34,2022-12-27
80,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672168954051,19:22:34,2022-12-27
81,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672168954071,19:22:34,2022-12-27
82,Quantum Roulette Live,6,Ausencia Coluna 3,1672168954088,19:22:34,2022-12-27
83,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672168954109,19:22:34,2022-12-27
84,Roulette,6,Ausencia Coluna 3,1672168954144,19:22:34,2022-12-27
85,bet365 Roulette,6,Ausencia Coluna 3,1672168954125,19:22:34,2022-12-27
86,Hindi Roulette,6,Ausencia Coluna 3,1672168954186,19:22:34,2022-12-27
87,Speed Roulette,6,Ausencia Coluna 3,1672168954201,19:22:34,2022-12-27
88,Greek  Roulette,6,Ausencia Coluna 3,1672168954216,19:22:34,2022-12-27
89,Roleta Brasileira,6,Ausencia Coluna 3,1672168954241,19:22:34,2022-12-27
90,Speed Auto Roulette,6,Ausencia Coluna 3,1672168954259,19:22:34,2022-12-27
91,Quantum Auto Roulette,6,Ausencia Coluna 3,1672168954249,19:22:34,2022-12-27
92,Prestige Roulette,6,Ausencia Coluna 3,1672168954271,19:22:34,2022-12-27
93,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672168954278,19:22:34,2022-12-27
94,Turkish Roulette,6,Ausencia Coluna 3,1672168954231,19:22:34,2022-12-27
95,Nederlandstalige Roulette,6,Ausencia Coluna 3,1672168954286,19:22:34,2022-12-27
96,Deutsches Roulette,6,Ausencia Coluna 3,1672168954292,19:22:34,2022-12-27
97,Auto Roulette,6,Ausencia Coluna 3,1672168954300,19:22:34,2022-12-27
98,Auto Roulette 2,6,Ausencia Coluna 3,1672168954307,19:22:34,2022-12-27
99,UK Roulette,6,Ausencia Coluna 3,1672168954321,19:22:34,2022-12-27
100,French Roulette,6,Ausencia Coluna 3,1672168954332,19:22:34,2022-12-27
101,Bucharest Roulette,6,Ausencia Coluna 3,1672168954341,19:22:34,2022-12-27
102,Bucharest French Roulette,6,Ausencia Coluna 3,1672168954349,19:22:34,2022-12-27
103,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672168954314,19:22:34,2022-12-27
104,Arabic Roulette,6,Ausencia Coluna 3,1672168954736,19:22:34,2022-12-27
105,Greek Quantum Roulette,6,Ausencia Coluna 3,1672168954748,19:22:34,2022-12-27
106,American Roulette,6,Ausencia Coluna 3,1672168954753,19:22:34,2022-12-27
107,Football French Roulette,6,Ausencia Coluna 3,1672168954743,19:22:34,2022-12-27
108,Football Roulette,6,Ausencia Coluna 3,1672168956390,19:22:36,2022-12-27
109,Roulette Italiana,6,Ausencia Coluna 3,1672168962960,19:22:42,2022-12-27
110,bet365 Roulette,6,Ausencia Coluna 3,1672168963007,19:22:43,2022-12-27
111,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672168963015,19:22:43,2022-12-27
112,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672168963021,19:22:43,2022-12-27
113,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672168963032,19:22:43,2022-12-27
114,Hindi Roulette,6,Ausencia Coluna 3,1672168963039,19:22:43,2022-12-27
115,Football Roulette,6,Ausencia Coluna 3,1672168969170,19:22:49,2022-12-27
116,Roulette,6,Ausencia Coluna 3,1672168969175,19:22:49,2022-12-27
117,Super Spin Roulette,6,Ausencia Coluna 3,1672168975263,19:22:55,2022-12-27
118,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672168981322,19:23:01,2022-12-27
119,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672172241408,20:17:21,2022-12-27
120,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672172241437,20:17:21,2022-12-27
121,bet365 Roulette,6,Ausencia Coluna 3,1672172241463,20:17:21,2022-12-27
122,Roulette,6,Ausencia Coluna 3,1672172241487,20:17:21,2022-12-27
123,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672172241510,20:17:21,2022-12-27
124,Football Roulette,6,Ausencia Coluna 3,1672172241551,20:17:21,2022-12-27
125,Quantum Roulette Live,6,Ausencia Coluna 3,1672172241526,20:17:21,2022-12-27
126,Speed Roulette,6,Ausencia Coluna 3,1672172241570,20:17:21,2022-12-27
127,Turkish Roulette,6,Ausencia Coluna 3,1672172241590,20:17:21,2022-12-27
128,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672172241540,20:17:21,2022-12-27
129,Greek  Roulette,6,Ausencia Coluna 3,1672172241580,20:17:21,2022-12-27
130,Roleta Brasileira,6,Ausencia Coluna 3,1672172241603,20:17:21,2022-12-27
131,Quantum Auto Roulette,6,Ausencia Coluna 3,1672172241612,20:17:21,2022-12-27
132,Speed Auto Roulette,6,Ausencia Coluna 3,1672172241623,20:17:21,2022-12-27
133,Prestige Roulette,6,Ausencia Coluna 3,1672172241639,20:17:21,2022-12-27
134,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672172241649,20:17:21,2022-12-27
135,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672172241659,20:17:21,2022-12-27
136,Deutsches Roulette,6,Ausencia Coluna 3,1672172241725,20:17:21,2022-12-27
137,Auto Roulette,6,Ausencia Coluna 3,1672172241739,20:17:21,2022-12-27
138,Auto Roulette 2,6,Ausencia Coluna 3,1672172241772,20:17:21,2022-12-27
139,Greek Quantum Roulette,6,Ausencia Coluna 3,1672172241781,20:17:21,2022-12-27
140,UK Roulette,6,Ausencia Coluna 3,1672172241789,20:17:21,2022-12-27
141,Bucharest Roulette,6,Ausencia Coluna 3,1672172241807,20:17:21,2022-12-27
142,French Roulette,6,Ausencia Coluna 3,1672172241799,20:17:21,2022-12-27
143,Bucharest French Roulette,6,Ausencia Coluna 3,1672172241815,20:17:21,2022-12-27
144,Super Spin Roulette,6,Ausencia Coluna 3,1672172241836,20:17:21,2022-12-27
145,Arabic Roulette,6,Ausencia Coluna 3,1672172241859,20:17:21,2022-12-27
146,Roulette Italiana,6,Ausencia Coluna 3,1672172241824,20:17:21,2022-12-27
147,American Roulette,6,Ausencia Coluna 3,1672172241870,20:17:21,2022-12-27
148,Nederlandstalige Roulette,6,Ausencia Coluna 3,1672172241879,20:17:21,2022-12-27
149,Hindi Roulette,6,Ausencia Coluna 3,1672172243018,20:17:23,2022-12-27
150,Football French Roulette,6,Ausencia Coluna 3,1672172251385,20:17:31,2022-12-27
151,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672172251462,20:17:31,2022-12-27
152,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672172251473,20:17:31,2022-12-27
153,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672172251481,20:17:31,2022-12-27
154,Hindi Roulette,6,Ausencia Coluna 3,1672172251497,20:17:31,2022-12-27
155,Roulette,6,Ausencia Coluna 3,1672172255791,20:17:35,2022-12-27
156,Super Spin Roulette,6,Ausencia Coluna 3,1672172255799,20:17:35,2022-12-27
157,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672172261885,20:17:41,2022-12-27
158,bet365 Roulette,6,Ausencia Coluna 3,1672172267960,20:17:47,2022-12-27
159,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672172267986,20:17:47,2022-12-27
160,Quantum Roulette Live,6,Ausencia Coluna 3,1672172268015,20:17:48,2022-12-27
161,Football Roulette,6,Ausencia Coluna 3,1672172268035,20:17:48,2022-12-27
162,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672172274013,20:17:54,2022-12-27
163,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672172282090,20:18:02,2022-12-27
164,Hindi Roulette,6,Ausencia Coluna 3,1672172294209,20:18:14,2022-12-27
165,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672172300287,20:18:20,2022-12-27
166,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672172300300,20:18:20,2022-12-27
167,Super Spin Roulette,6,Ausencia Coluna 3,1672172308381,20:18:28,2022-12-27
168,bet365 Roulette,6,Ausencia Coluna 3,1672172308391,20:18:28,2022-12-27
169,Roulette,6,Ausencia Coluna 3,1672172308418,20:18:28,2022-12-27
170,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672172308402,20:18:28,2022-12-27
171,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672172312427,20:18:32,2022-12-27
172,Football Roulette,6,Ausencia Coluna 3,1672172312444,20:18:32,2022-12-27
173,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672172324712,20:18:44,2022-12-27
174,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672172324733,20:18:44,2022-12-27
175,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672172330774,20:18:50,2022-12-27
176,Super Spin Roulette,6,Ausencia Coluna 3,1672172957525,20:29:17,2022-12-27
177,Quantum Roulette Live,6,Ausencia Coluna 3,1672172957641,20:29:17,2022-12-27
178,bet365 Roulette,6,Ausencia Coluna 3,1672172957691,20:29:17,2022-12-27
179,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672172957719,20:29:17,2022-12-27
180,Hindi Roulette,6,Ausencia Coluna 3,1672172957757,20:29:17,2022-12-27
181,Speed Roulette,6,Ausencia Coluna 3,1672172957790,20:29:17,2022-12-27
182,Greek  Roulette,6,Ausencia Coluna 3,1672172957812,20:29:17,2022-12-27
183,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672172957834,20:29:17,2022-12-27
184,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672172957607,20:29:17,2022-12-27
185,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672172957861,20:29:17,2022-12-27
186,Football Roulette,6,Ausencia Coluna 3,1672172957890,20:29:17,2022-12-27
187,Turkish Roulette,6,Ausencia Coluna 3,1672172957920,20:29:17,2022-12-27
188,Roleta Brasileira,6,Ausencia Coluna 3,1672172957951,20:29:17,2022-12-27
189,Quantum Auto Roulette,6,Ausencia Coluna 3,1672172957978,20:29:17,2022-12-27
190,Speed Auto Roulette,6,Ausencia Coluna 3,1672172957995,20:29:17,2022-12-27
191,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672172958017,20:29:18,2022-12-27
192,Roulette,6,Ausencia Coluna 3,1672172958036,20:29:18,2022-12-27
193,Nederlandstalige Roulette,6,Ausencia Coluna 3,1672172958052,20:29:18,2022-12-27
194,Deutsches Roulette,6,Ausencia Coluna 3,1672172958069,20:29:18,2022-12-27
195,Auto Roulette,6,Ausencia Coluna 3,1672172958089,20:29:18,2022-12-27
196,Greek Quantum Roulette,6,Ausencia Coluna 3,1672172958207,20:29:18,2022-12-27
197,Auto Roulette 2,6,Ausencia Coluna 3,1672172958187,20:29:18,2022-12-27
198,French Roulette,6,Ausencia Coluna 3,1672172958247,20:29:18,2022-12-27
199,UK Roulette,6,Ausencia Coluna 3,1672172958233,20:29:18,2022-12-27
200,Bucharest French Roulette,6,Ausencia Coluna 3,1672172958282,20:29:18,2022-12-27
201,Bucharest Roulette,6,Ausencia Coluna 3,1672172958264,20:29:18,2022-12-27
202,Roulette Italiana,6,Ausencia Coluna 3,1672172958296,20:29:18,2022-12-27
203,Football French Roulette,6,Ausencia Coluna 3,1672172958320,20:29:18,2022-12-27
204,Arabic Roulette,6,Ausencia Coluna 3,1672172958335,20:29:18,2022-12-27
205,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672172958351,20:29:18,2022-12-27
206,Prestige Roulette,6,Ausencia Coluna 3,1672172968758,20:29:28,2022-12-27
207,American Roulette,6,Ausencia Coluna 3,1672172968952,20:29:28,2022-12-27
208,Super Spin Roulette,6,Ausencia Coluna 3,1672173007634,20:30:07,2022-12-27
209,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672173007673,20:30:07,2022-12-27
210,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672173007771,20:30:07,2022-12-27
211,bet365 Roulette,6,Ausencia Coluna 3,1672173007726,20:30:07,2022-12-27
212,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672173007791,20:30:07,2022-12-27
213,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672173007812,20:30:07,2022-12-27
214,Quantum Roulette Live,6,Ausencia Coluna 3,1672173007850,20:30:07,2022-12-27
215,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672173007832,20:30:07,2022-12-27
216,Roulette,6,Ausencia Coluna 3,1672173007870,20:30:07,2022-12-27
217,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672173007888,20:30:07,2022-12-27
218,Football Roulette,6,Ausencia Coluna 3,1672173007900,20:30:07,2022-12-27
219,Hindi Roulette,6,Ausencia Coluna 3,1672173007917,20:30:07,2022-12-27
220,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672173014712,20:30:14,2022-12-27
221,bet365 Roulette,6,Ausencia Coluna 3,1672173026970,20:30:26,2022-12-27
222,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672173027009,20:30:27,2022-12-27
223,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672173027036,20:30:27,2022-12-27
224,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672173033293,20:30:33,2022-12-27
225,Football Roulette,6,Ausencia Coluna 3,1672173033320,20:30:33,2022-12-27
226,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672173033343,20:30:33,2022-12-27
227,Hindi Roulette,6,Ausencia Coluna 3,1672173033366,20:30:33,2022-12-27
228,Super Spin Roulette,6,Ausencia Coluna 3,1672173052919,20:30:52,2022-12-27
229,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672173053029,20:30:53,2022-12-27
230,Roulette,6,Ausencia Coluna 3,1672173053106,20:30:53,2022-12-27
231,bet365 Roulette,6,Ausencia Coluna 3,1672173071057,20:31:11,2022-12-27
232,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672173071152,20:31:11,2022-12-27
233,Quantum Roulette Live,6,Ausencia Coluna 3,1672173071330,20:31:11,2022-12-27
234,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672173101919,20:31:41,2022-12-27
235,Football Roulette,6,Ausencia Coluna 3,1672173102113,20:31:42,2022-12-27
236,Hindi Roulette,6,Ausencia Coluna 3,1672173102329,20:31:42,2022-12-27
237,Super Spin Roulette,6,Ausencia Coluna 3,1672173102427,20:31:42,2022-12-27
238,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672173107725,20:31:47,2022-12-27
239,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672173107786,20:31:47,2022-12-27
240,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672173107990,20:31:47,2022-12-27
241,Mega Fire Blaze Roulette Live,6,Ausencia Coluna 3,1672173108206,20:31:48,2022-12-27
242,Roulette,6,Ausencia Coluna 3,1672173108459,20:31:48,2022-12-27
243,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672173108538,20:31:48,2022-12-27
244,bet365 Roulette,6,Ausencia Coluna 3,1672173128778,20:32:08,2022-12-27
245,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672173128892,20:32:08,2022-12-27
246,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672173128982,20:32:08,2022-12-27
247,Quantum Roulette Live,6,Ausencia Coluna 3,1672173129026,20:32:09,2022-12-27
248,Football Roulette,6,Ausencia Coluna 3,1672173129062,20:32:09,2022-12-27
249,Hindi Roulette,6,Ausencia Coluna 3,1672173129095,20:32:09,2022-12-27
250,Who Wants To Be a Millionaire? Roulette,6,Ausencia Coluna 3,1672173133202,20:32:13,2022-12-27
251,Roulette,6,Ausencia Coluna 3,1672173133266,20:32:13,2022-12-27
252,Super Spin Roulette,6,Ausencia Coluna 3,1672173141514,20:32:21,2022-12-27
253,Super Spin Roulette,6,Ausencia Duzia 2,1672173141517,20:32:21,2022-12-27
254,Super Spin Roulette,6,Ausencia Coluna 1,1672173141518,20:32:21,2022-12-27
255,Super Spin Roulette,6,Ausencia Duzia 1,1672173141519,20:32:21,2022-12-27
256,bet365 Roulette,6,Ausencia Coluna 3,1672173141542,20:32:21,2022-12-27
257,bet365 Roulette,6,Ausencia Duzia 2,1672173141546,20:32:21,2022-12-27
258,bet365 Roulette,6,Ausencia Duzia 1,1672173141548,20:32:21,2022-12-27
259,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672173141568,20:32:21,2022-12-27
260,Ruleta Latinoamérica bet365,6,Ausencia Duzia 2,1672173141575,20:32:21,2022-12-27
261,Ruleta Latinoamérica bet365,6,Ausencia Coluna 1,1672173141576,20:32:21,2022-12-27
262,Ruleta Latinoamérica bet365,6,Ausencia Duzia 1,1672173141577,20:32:21,2022-12-27
263,bet365 Roulette,6,Ausencia Coluna 1,1672173141547,20:32:21,2022-12-27
264,bet365 Dutch Roulette,6,Ausencia Coluna 3,1672173148283,20:32:28,2022-12-27
265,bet365 Dutch Roulette,6,Ausencia Duzia 2,1672173148304,20:32:28,2022-12-27
266,bet365 Dutch Roulette,6,Ausencia Coluna 1,1672173148314,20:32:28,2022-12-27
267,bet365 Dutch Roulette,6,Ausencia Duzia 1,1672173148316,20:32:28,2022-12-27
268,Roleta Brasileira bet365,6,Ausencia Coluna 3,1672173153282,20:32:33,2022-12-27
269,Roleta Brasileira bet365,6,Ausencia Duzia 2,1672173153286,20:32:33,2022-12-27
270,Roleta Brasileira bet365,6,Ausencia Coluna 1,1672173153287,20:32:33,2022-12-27
271,Roleta Brasileira bet365,6,Ausencia Duzia 1,1672173153288,20:32:33,2022-12-27
272,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 3,1672173163469,20:32:43,2022-12-27
273,Age Of The Gods Bonus Roulette,6,Ausencia Duzia 2,1672173163480,20:32:43,2022-12-27
274,Age Of The Gods Bonus Roulette,6,Ausencia Coluna 1,1672173163481,20:32:43,2022-12-27
275,Age Of The Gods Bonus Roulette,6,Ausencia Duzia 1,1672173163482,20:32:43,2022-12-27
276,Ruleta Latinoamérica bet365,6,Ausencia Coluna 3,1672173171743,20:32:51,2022-12-27
277,Ruleta Latinoamérica bet365,6,Ausencia Duzia 2,1672173171762,20:32:51,2022-12-27
278,Ruleta Latinoamérica bet365,6,Ausencia Coluna 1,1672173171763,20:32:51,2022-12-27
279,Ruleta Latinoamérica bet365,6,Ausencia Duzia 1,1672173171764,20:32:51,2022-12-27
280,Ruleta Latinoamérica bet365,6,Ausencia Coluna 2,1672173171765,20:32:51,2022-12-27
281,Roulette,6,Ausencia Coluna 3,1672173171813,20:32:51,2022-12-27
282,Roulette,6,Ausencia Duzia 2,1672173171819,20:32:51,2022-12-27
283,Roulette,6,Ausencia Coluna 1,1672173171821,20:32:51,2022-12-27
284,Roulette,6,Ausencia Duzia 1,1672173171822,20:32:51,2022-12-27
285,Roulette,6,Ausencia Coluna 2,1672173171825,20:32:51,2022-12-27
286,Hindi Roulette,6,Ausencia Coluna 3,1672173171868,20:32:51,2022-12-27
287,Hindi Roulette,6,Ausencia Duzia 2,1672173171871,20:32:51,2022-12-27
288,Hindi Roulette,6,Ausencia Coluna 1,1672173171873,20:32:51,2022-12-27
289,Hindi Roulette,6,Ausencia Duzia 1,1672173171880,20:32:51,2022-12-27
290,Hindi Roulette,6,Ausencia Coluna 2,1672173171882,20:32:51,2022-12-27
291,bet365 Roulette,6,Ausencia Coluna 3,1672173177452,20:32:57,2022-12-27
292,bet365 Roulette,6,Ausencia Duzia 2,1672173177455,20:32:57,2022-12-27
293,bet365 Roulette,6,Ausencia Coluna 1,1672173177457,20:32:57,2022-12-27
294,bet365 Roulette,6,Ausencia Duzia 1,1672173177458,20:32:57,2022-12-27
295,bet365 Roulette,6,Ausencia Coluna 2,1672173177464,20:32:57,2022-12-27
296,bet365 Roulette,7,Ausencia Coluna 1,1672173177465,20:32:57,2022-12-27
297,bet365 Roulette,6,Ausencia Coluna 2,1672173177466,20:32:57,2022-12-27
298,Quantum Roulette Live,6,Ausencia Coluna 3,1672173177488,20:32:57,2022-12-27
299,Quantum Roulette Live,6,Ausencia Duzia 2,1672173177496,20:32:57,2022-12-27
300,Quantum Roulette Live,6,Ausencia Coluna 1,1672173177497,20:32:57,2022-12-27
301,Quantum Roulette Live,6,Ausencia Duzia 1,1672173177498,20:32:57,2022-12-27
